XXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXX
100000000000000000000000 010000000000000000000000
100000000000000000000001 001111111111111111111111
100000000000000000000010 001111111111111111111111
100000000000000000000011 001111111111111111111110
100000000000000000000100 001111111111111111111110
100000000000000000000101 001111111111111111111101
100000000000000000000110 001111111111111111111101
100000000000000000000111 001111111111111111111100
100000000000000000001000 001111111111111111111100
100000000000000000001001 001111111111111111111011
111111111111111111110110 000000000000000000000000
111111111111111111110111 000000000000000000000000
111111111111111111111000 000000000000000000000000
111111111111111111111001 000000000000000000000000
111111111111111111111010 000000000000000000000000
111111111111111111111011 000000000000000000000000
111111111111111111111100 000000000000000000000000
111111111111111111111101 000000000000000000000000
111111111111111111111110 000000000000000000000000
111111111111111111111111 000000000000000000000000
000000000000000000000000 000000000000000000000000
000000000000000000000001 000000000000000000000000
000000000000000000000010 000000000000000000000000
000000000000000000000011 000000000000000000000000
000000000000000000000100 000000000000000000000000
000000000000000000000101 000000000000000000000000
000000000000000000000110 000000000000000000000000
000000000000000000000111 000000000000000000000000
000000000000000000001000 000000000000000000000000
000000000000000000001001 000000000000000000000000
011111111111111111110110 110000000000000000000101
011111111111111111110111 110000000000000000000100
011111111111111111111000 110000000000000000000100
011111111111111111111001 110000000000000000000011
011111111111111111111010 110000000000000000000011
011111111111111111111011 110000000000000000000010
011111111111111111111100 110000000000000000000010
011111111111111111111101 110000000000000000000001
011111111111111111111110 110000000000000000000001
011111111111111111111111 110000000000000000000000
.
