XXXXXXXXXXXXXXXXXXXXXXXX XXXXXXXXXXXXXXXXXXXXXXXX
100000000000000000000000 110000000000000000000000
100000000000000000000001 110000000000000000000001
100000000000000000000010 110000000000000000000001
100000000000000000000011 110000000000000000000011
100000000000000000000100 110000000000000000000010
100000000000000000000101 110000000000000000000101
100000000000000000000110 110000000000000000000011
100000000000000000000111 110000000000000000000111
100000000000000000001000 110000000000000000000100
100000000000000000001001 110000000000000000001001
111111111111111111110110 000000000000000000000000
111111111111111111110111 000000000000000000000000
111111111111111111111000 000000000000000000000000
111111111111111111111001 000000000000000000000000
111111111111111111111010 000000000000000000000000
111111111111111111111011 000000000000000000000000
111111111111111111111100 000000000000000000000000
111111111111111111111101 000000000000000000000000
111111111111111111111110 000000000000000000000000
111111111111111111111111 000000000000000000000000
000000000000000000000000 000000000000000000000000
000000000000000000000001 000000000000000000000000
000000000000000000000010 000000000000000000000000
000000000000000000000011 000000000000000000000000
000000000000000000000100 000000000000000000000000
000000000000000000000101 000000000000000000000000
000000000000000000000110 000000000000000000000000
000000000000000000000111 000000000000000000000000
000000000000000000001000 000000000000000000000000
000000000000000000001001 000000000000000000000000
011111111111111111110110 001111111111111111111011
011111111111111111110111 001111111111111111111011
011111111111111111111000 001111111111111111111100
011111111111111111111001 001111111111111111111100
011111111111111111111010 001111111111111111111101
011111111111111111111011 001111111111111111111101
011111111111111111111100 001111111111111111111110
011111111111111111111101 001111111111111111111110
011111111111111111111110 001111111111111111111111
011111111111111111111111 001111111111111111111111
.
